"","name","id","date","prcp","tmax","tmin"
"285","CentralPark_NY","USW00094728",2022-10-12,0,21.1,13.9
"286","CentralPark_NY","USW00094728",2022-10-13,203,20.6,12.2
"287","CentralPark_NY","USW00094728",2022-10-14,48,19.4,11.1
"288","CentralPark_NY","USW00094728",2022-10-15,0,20,10
"289","CentralPark_NY","USW00094728",2022-10-16,0,17.8,11.1
"290","CentralPark_NY","USW00094728",2022-10-17,36,18.9,11.7
"291","CentralPark_NY","USW00094728",2022-10-18,0,13.3,7.8
"292","CentralPark_NY","USW00094728",2022-10-19,0,12.2,5.6
"293","CentralPark_NY","USW00094728",2022-10-20,0,14.4,6.7
"294","CentralPark_NY","USW00094728",2022-10-21,0,16.7,7.8
"295","CentralPark_NY","USW00094728",2022-10-22,0,18.9,9.4
"296","CentralPark_NY","USW00094728",2022-10-23,5,16.1,12.2
"297","CentralPark_NY","USW00094728",2022-10-24,132,16.1,12.8
"298","CentralPark_NY","USW00094728",2022-10-25,0,21.1,16.1
"299","CentralPark_NY","USW00094728",2022-10-26,0,22.2,15.6
"300","CentralPark_NY","USW00094728",2022-10-27,0,18.3,11.1
"301","CentralPark_NY","USW00094728",2022-10-28,0,13.3,7.2
"302","CentralPark_NY","USW00094728",2022-10-29,0,14.4,6.1
"303","CentralPark_NY","USW00094728",2022-10-30,0,17.2,6.1
"304","CentralPark_NY","USW00094728",2022-10-31,25,18.3,10.6
"305","CentralPark_NY","USW00094728",2022-11-01,20,19.4,15
"306","CentralPark_NY","USW00094728",2022-11-02,0,21.1,12.2
"307","CentralPark_NY","USW00094728",2022-11-03,0,19.4,11.1
"308","CentralPark_NY","USW00094728",2022-11-04,0,21.1,11.7
"309","CentralPark_NY","USW00094728",2022-11-05,0,24.4,17.8
"310","CentralPark_NY","USW00094728",2022-11-06,0,23.9,18.9
"311","CentralPark_NY","USW00094728",2022-11-07,0,25,12.2
"312","CentralPark_NY","USW00094728",2022-11-08,0,14.4,8.3
"313","CentralPark_NY","USW00094728",2022-11-09,0,11.7,4.4
"314","CentralPark_NY","USW00094728",2022-11-10,0,18.9,8.3
"315","CentralPark_NY","USW00094728",2022-11-11,226,20,15
"316","CentralPark_NY","USW00094728",2022-11-12,20,20.6,15.6
"317","CentralPark_NY","USW00094728",2022-11-13,10,16.1,5
"318","CentralPark_NY","USW00094728",2022-11-14,0,7.2,2.8
"319","CentralPark_NY","USW00094728",2022-11-15,142,7.8,1.7
"320","CentralPark_NY","USW00094728",2022-11-16,71,10,3.9
"321","CentralPark_NY","USW00094728",2022-11-17,0,7.8,2.8
"322","CentralPark_NY","USW00094728",2022-11-18,0,6.7,1.1
"323","CentralPark_NY","USW00094728",2022-11-19,0,4.4,-0.5
"324","CentralPark_NY","USW00094728",2022-11-20,0,4.4,-1
"325","CentralPark_NY","USW00094728",2022-11-21,0,5,-2.7
"326","CentralPark_NY","USW00094728",2022-11-22,0,10.6,2.8
"327","CentralPark_NY","USW00094728",2022-11-23,0,12.8,5.6
"328","CentralPark_NY","USW00094728",2022-11-24,0,12.2,4.4
"329","CentralPark_NY","USW00094728",2022-11-25,5,12.8,7.8
"330","CentralPark_NY","USW00094728",2022-11-26,0,13.9,5.6
"331","CentralPark_NY","USW00094728",2022-11-27,178,15.6,8.9
"332","CentralPark_NY","USW00094728",2022-11-28,0,12.2,5
"333","CentralPark_NY","USW00094728",2022-11-29,0,6.7,2.2
"334","CentralPark_NY","USW00094728",2022-11-30,127,14.4,4.4
"335","CentralPark_NY","USW00094728",2022-12-01,0,6.1,1.7
"336","CentralPark_NY","USW00094728",2022-12-02,0,8.3,0
"337","CentralPark_NY","USW00094728",2022-12-03,124,14.4,7.2
"338","CentralPark_NY","USW00094728",2022-12-04,0,7.2,3.3
"339","CentralPark_NY","USW00094728",2022-12-05,0,8.9,2.2
"340","CentralPark_NY","USW00094728",2022-12-06,267,14.4,5.6
"341","CentralPark_NY","USW00094728",2022-12-07,66,15,12.2
"342","CentralPark_NY","USW00094728",2022-12-08,0,12.8,5.6
"343","CentralPark_NY","USW00094728",2022-12-09,0,7.2,2.2
"344","CentralPark_NY","USW00094728",2022-12-10,0,3.9,0
"345","CentralPark_NY","USW00094728",2022-12-11,81,4.4,0.6
"346","CentralPark_NY","USW00094728",2022-12-12,3,3.3,-2.1
"347","CentralPark_NY","USW00094728",2022-12-13,0,4.4,-3.8
"348","CentralPark_NY","USW00094728",2022-12-14,0,3.9,-0.5
"349","CentralPark_NY","USW00094728",2022-12-15,130,5.6,0.6
"350","CentralPark_NY","USW00094728",2022-12-16,216,6.7,3.3
"351","CentralPark_NY","USW00094728",2022-12-17,0,6.7,2.2
"352","CentralPark_NY","USW00094728",2022-12-18,0,4.4,0
"353","CentralPark_NY","USW00094728",2022-12-19,0,3.9,-0.5
"354","CentralPark_NY","USW00094728",2022-12-20,0,3.9,-1
"355","CentralPark_NY","USW00094728",2022-12-21,0,4.4,-2.7
"356","CentralPark_NY","USW00094728",2022-12-22,58,8.3,1.7
"357","CentralPark_NY","USW00094728",2022-12-23,465,14.4,-13.2
"358","CentralPark_NY","USW00094728",2022-12-24,0,-9.3,-13.8
"359","CentralPark_NY","USW00094728",2022-12-25,0,-2.1,-9.9
"360","CentralPark_NY","USW00094728",2022-12-26,0,-1.6,-7.7
"361","CentralPark_NY","USW00094728",2022-12-27,0,1.7,-1.6
"362","CentralPark_NY","USW00094728",2022-12-28,0,8.3,0.6
"363","CentralPark_NY","USW00094728",2022-12-29,0,10.6,4.4
"364","CentralPark_NY","USW00094728",2022-12-30,0,16.7,7.8
"365","CentralPark_NY","USW00094728",2022-12-31,71,12.8,10
